Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Carmelo Anthony,,10.7,9.5,9.4,8.2,7.9,7.9,7.3,6.4,6.2,6.1,5.0,4.9,2.9,,,,,
Alex English,92.5,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7.0,6.8,5.3,5.1,4.0,1.2,0.6,,,
Rasheed Wallace,91.2,11.0,9.7,9.3,8.9,8.5,7.6,7.6,7.1,6.4,6.2,6.2,5.1,5.0,3.6,2.3,0.6,,
Dennis Rodman,91.2,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6.0,5.8,5.5,2.9,0.8,0.6,,,,
Rashard Lewis,91.2,9.8,9.5,8.6,8.4,8.3,8.0,7.8,7.6,6.5,6.5,4.1,3.0,1.7,1.2,0.3,-0.4,,
A.C. Green,90.3,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,5.2,5.0,4.8,4.4,3.3,3.2,1.4,,
Bobby Jones,89.7,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0,4.8,3.2,,,,,,
P.J. Brown,89.5,10.2,8.2,8.1,8.0,7.5,7.5,6.9,6.9,5.3,5.1,4.6,4.4,4.2,2.3,0.5,,,
Terry Cummings,89.3,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,3.0,2.6,2.6,2.1,2.0,1.8,0.4,0.0
Antawn Jamison,89.1,9.2,9.0,8.5,8.2,8.1,6.8,6.7,6.4,5.8,5.4,4.3,3.1,2.6,2.3,1.4,0.1,,
Glen Rice,88.6,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1,,,
