Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Carmelo Anthony,,10.7,9.5,9.4,8.2,7.9,7.9,7.3,6.4,6.2,6.1,5.0,4.9,2.9
Rasheed Wallace,94.9,11.0,9.7,9.3,8.9,8.5,7.6,7.6,7.1,6.4,6.2,6.2,5.0,2.3
A.C. Green,94.0,9.4,9.3,8.8,8.6,7.9,7.7,7.6,6.7,6.1,5.2,4.8,4.4,3.3
Alex English,92.4,10.3,9.8,9.5,8.9,8.3,8.2,8.1,7.6,7.0,6.8,5.3,4.0,1.2
Otis Thorpe,91.5,10.4,9.8,9.0,8.9,8.7,8.5,8.1,7.9,7.6,6.0,5.6,4.0,3.8
Dennis Rodman,91.5,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6.0,5.8,5.5,2.9,0.8
P.J. Brown,90.8,10.2,8.2,8.1,8.0,7.5,7.5,6.9,6.9,5.3,5.1,4.6,4.4,4.2
Rashard Lewis,90.8,9.8,9.5,8.6,8.4,8.3,8.0,7.8,7.6,6.5,6.5,4.1,3.0,-0.4
Buck Williams,89.8,11.4,9.2,8.9,8.7,8.5,7.9,7.9,7.7,7.6,7.3,6.8,6.1,5.2
Bobby Jones,89.7,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0,4.8,3.2,
Terry Cummings,89.0,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,2.0,1.8,0.0
