Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,881,28333,.434,13.9,.798,.255,.103,.109,.331,.202,.456,.585,.359,.374,.413,.348,.524,.042,411,.818,.274,.379,48,1
5 seasons,,WAS,NBA,,310,11934,.453,13.1,.857,.273,.120,.103,.361,.143,.476,.633,.360,.364,.428,.315,.446,.046,214,.535,.177,.347,18,1
2 seasons,,MIA,NBA,,146,4888,.402,11.1,.910,.343,.130,.135,.302,.090,.413,.534,.341,.304,.355,.295,.546,.054,75,.795,.221,.333,15,0
2 seasons,,LAC,NBA,,141,3750,.415,17.7,.588,.132,.076,.095,.284,.412,.444,.574,.358,.471,.398,.375,.691,.029,32,.964,.330,.407,1,0
1 season,,DET,NBA,,78,1623,.407,20.9,.447,.063,.033,.078,.273,.553,.441,.520,.308,.484,.426,.379,.679,.003,1,.928,.228,.480,3,0
1 season,,LAL,NBA,,77,2746,.445,10.5,.874,.415,.091,.093,.275,.126,.465,.560,.389,.402,.370,.304,.620,.078,69,.974,.528,.348,5,0
2 seasons,,DAL,NBA,,56,1797,.445,14.3,.844,.220,.086,.136,.401,.156,.455,.500,.381,.350,.481,.391,.589,.029,18,.867,.374,.302,4,0
1 season,,MIL,NBA,,34,821,.387,18.8,.585,.096,.045,.119,.325,.415,.406,.471,.313,.405,.400,.361,.548,.006,2,.943,.224,.364,0,0
1 season,,OKC,NBA,,22,598,.409,20.4,.452,.022,.032,.129,.269,.548,.369,.500,.333,.375,.360,.441,.613,.000,0,.933,.422,.419,1,0
1 season,,SAC,NBA,,17,176,.424,18.8,.695,.034,.051,.153,.458,.305,.537,.500,.667,.667,.481,.167,.636,.000,0,1.000,.278,.200,1,0
