Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2008-09,22,PHO,NBA,PG,55,728,.393,13.6,.759,.317,.049,.134,.259,.241,.400,.423,.636,.400,.328,.370,.265,.013,3,.600,.111,.333,2,0
2009-10,23,PHO,NBA,PG,80,1442,.452,14.6,.617,.283,.077,.108,.149,.383,.488,.612,.421,.396,.356,.394,.264,.014,6,.662,.160,.467,2,0
2010-11,24,TOT,NBA,PG,70,1234,.435,13.8,.649,.272,.156,.086,.134,.351,.476,.683,.290,.368,.339,.361,.213,.007,3,.732,.181,.393,2,0
2010-11,24,PHO,NBA,PG,48,856,.421,13.5,.680,.269,.155,.111,.146,.320,.488,.694,.306,.371,.391,.277,.171,.003,1,.714,.188,.211,1,0
2010-11,24,HOU,NBA,PG,22,378,.472,14.6,.568,.280,.160,.024,.104,.432,.437,.657,.250,.333,.154,.519,.355,.016,2,.750,.167,.778,1,0
2011-12,25,HOU,NBA,PG,66,1752,.462,13.2,.663,.305,.133,.105,.120,.337,.525,.710,.363,.365,.375,.337,.177,.022,12,.618,.178,.278,0,0
2012-13,26,PHO,NBA,PG,77,2581,.443,13.5,.695,.292,.100,.143,.159,.305,.497,.664,.341,.369,.403,.319,.284,.007,6,.625,.188,.346,0,0
2013-14,27,PHO,NBA,SG,76,2668,.505,12.1,.726,.349,.120,.129,.128,.274,.542,.696,.351,.411,.429,.408,.209,.009,9,.533,.201,.517,0,0
2014-15,28,TOT,NBA,SG-PG,78,2640,.501,11.0,.742,.414,.105,.126,.096,.258,.555,.699,.381,.373,.354,.347,.383,.001,1,.756,.320,.349,0,0
2014-15,28,PHO,NBA,SG,52,1735,.501,11.3,.726,.405,.108,.118,.096,.274,.556,.705,.356,.388,.354,.355,.434,.001,1,.758,.366,.324,0,0
2014-15,28,MIA,NBA,PG,26,905,.502,10.4,.774,.433,.099,.142,.096,.226,.552,.686,.438,.348,.355,.329,.283,.000,0,.750,.205,.467,0,0
2015-16,29,MIA,NBA,PG,72,2363,.477,11.3,.766,.328,.142,.169,.127,.234,.527,.666,.387,.426,.459,.312,.252,.001,1,.750,.244,.260,0,0
2016-17,30,MIA,NBA,PG,42,1443,.473,12.4,.748,.274,.181,.172,.121,.252,.489,.609,.452,.413,.377,.425,.220,.000,0,.691,.288,.435,0,0
