Player,Sim,1,2,3,4,5,6,7
James Harden,,16.4,13.3,12.8,12.8,9.3,7.1,4.5
Dwyane Wade,88.1,14.7,14.4,13.0,11.0,8.8,4.6,3.3
Sidney Moncrief,88.0,13.4,13.2,12.7,11.7,11.2,9.9,4.9
John Stockton,87.9,15.6,14.4,14.1,14.0,6.7,5.9,3.1
Jerry West,87.2,17.1,16.7,14.0,12.9,11.7,8.1,6.6
Magic Johnson,85.8,12.9,12.7,12.5,12.1,10.5,10.2,6.4
Reggie Miller,85.4,12.5,12.1,11.7,11.3,11.0,6.5,4.2
Walt Frazier,85.4,15.6,15.0,14.5,13.0,12.7,10.9,3.5
Chris Paul,84.5,18.3,17.8,13.9,12.7,10.4,8.8,7.3
Clyde Drexler,83.3,13.2,12.6,11.6,10.3,7.5,6.7,2.4
Stephen Curry,83.1,17.9,15.7,13.4,11.2,6.6,4.7,2.2
