Season,Team,Lg,Salary
2003-04,New Orleans Hornets,NBA,"$1,160,160"
2004-05,New Orleans Hornets,NBA,"$1,247,160"
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$1,334,160"
2006-07,New Orleans/Oklahoma City Hornets,NBA,"$2,051,938"
2007-08,New Orleans Hornets,NBA,"$10,650,000"
2008-09,New Orleans Hornets,NBA,"$9,862,500"
2009-10,New Orleans Hornets,NBA,"$9,075,000"
2010-11,New Orleans Hornets,NBA,"$8,287,500"
2011-12,Indiana Pacers,NBA,"$10,000,000"
2012-13,Indiana Pacers,NBA,"$10,000,000"
2013-14,Indiana Pacers,NBA,"$12,000,000"
2014-15,Indiana Pacers,NBA,"$12,000,000"
2015-16,San Antonio Spurs,NBA,"$1,499,000"
